book_name,writer_name,type,category,mood,cover_url
In whose best interests?: The unjust treatment of children in courts and institutions,Laurie Taylor,Book,English,Fun,https://images.amazon.com/images/P/0900137142.01.LZZZZZZZ.jpg
"The Richest Kid in the World (The Tree House Kids, #3)",Carol Gorman,Book,English,Fun,https://images.amazon.com/images/P/0570047285.01.LZZZZZZZ.jpg
The Animals of Farthing Wood,Colin Dann,Book,English,Fun,https://images.amazon.com/images/P/0749700351.01.LZZZZZZZ.jpg
Spiders in the Fruit Cellar,Barbara Joosse,Book,English,Fun,https://images.amazon.com/images/P/0394953274.01.LZZZZZZZ.jpg
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,Book,English,Fun,https://images.amazon.com/images/P/0786817070.01.LZZZZZZZ.jpg
Holiday Food Fun (Favorite All Time Recipes Series),Not Applicable (Na ),Book,English,Fun,https://images.amazon.com/images/P/078530195X.01.LZZZZZZZ.jpg
The Tale of One Bad Rat,Bryan Talbot,Book,English,Fun,https://images.amazon.com/images/P/1569710775.01.LZZZZZZZ.jpg
Party Ideas With Crafts Kids Can Make,Highlights Editors,Book,English,Fun,https://images.amazon.com/images/P/0875343104.01.LZZZZZZZ.jpg
Naming the Dark,Annie Dalton,Book,English,Fun,https://images.amazon.com/images/P/0749715804.01.LZZZZZZZ.jpg
"Harry Goes to Camp (Monsterkids, No 3)",Gertrude Gruesome,Book,English,Fun,https://images.amazon.com/images/P/0061062383.01.LZZZZZZZ.jpg
The Complete Book of Humorous Art,Bob Staake,Book,English,Fun,https://images.amazon.com/images/P/0891346236.01.LZZZZZZZ.jpg
Babar the Boy King (Babar Mini-Storybooks),Gail Herman,Book,English,Fun,https://images.amazon.com/images/P/0394845331.01.LZZZZZZZ.jpg
Dead End Kids: Gang Girls and the Boys They Know,Mark S. Fleisher,Book,English,Fun,https://images.amazon.com/images/P/0299158845.01.LZZZZZZZ.jpg
Der achte SchÃ?ÃÂ¶pfungstag. Roman.,Thornton Wilder,Book,English,Fun,https://images.amazon.com/images/P/3596108101.01.LZZZZZZZ.jpg
"The Sesame Street 1, 2, 3 Storybook",Kinglsey,Book,English,Fun,https://images.amazon.com/images/P/0394926943.01.LZZZZZZZ.jpg
"Crayon Shinchan, Vol. 1",Yoshito Usui,Book,English,Fun,https://images.amazon.com/images/P/1588991946.01.LZZZZZZZ.jpg
"The Mammoth Hunters (Auel, Jean M. , Earth's Children.)",Jean M. Auel,Book,English,Fun,https://images.amazon.com/images/P/0553260960.01.LZZZZZZZ.jpg
If Cats Could Fly (Mammoth Read),Robert Westall,Book,English,Fun,https://images.amazon.com/images/P/0749709367.01.LZZZZZZZ.jpg
Rookie Dad : Fun and Easy Exercises and Games for Dads and Babies in Their First Year,Susan Fox,Book,English,Fun,https://images.amazon.com/images/P/0743410343.01.LZZZZZZZ.jpg
"Mistletoe Mischief (Love & Laughter, No 33)",Alyssa Dean,Book,English,Fun,https://images.amazon.com/images/P/0373440332.01.LZZZZZZZ.jpg
Playing the Future: What We Can Learn from Digital Kids,Douglas Rushkoff,Book,English,Fun,https://images.amazon.com/images/P/1573227641.01.LZZZZZZZ.jpg
Three Complete Novels: Children of the Thunder/the Tides of Time/the Crucible of Time,John Brunner,Book,English,Fun,https://images.amazon.com/images/P/051712310X.01.LZZZZZZZ.jpg
Just for Fun. Wie ein Freak die Computerwelt revolutionierte.,Linus Torvalds,Book,English,Fun,https://images.amazon.com/images/P/3446216847.01.LZZZZZZZ.jpg
Loch : A Novel,Paul Zindel,Book,English,Fun,https://images.amazon.com/images/P/0786810998.01.LZZZZZZZ.jpg
Mammals (Fun Facts for Curious Kids),Deborah Deford,Book,English,Fun,https://images.amazon.com/images/P/030711323X.01.LZZZZZZZ.jpg
Babar and Zephir (Babar Books (Random House)),Jean De Brunhoff,Book,English,Fun,https://images.amazon.com/images/P/0394805798.01.LZZZZZZZ.jpg
Disney's Toy Story Joke Book (Golden Look-Look Books),Barbara Bazaldua,Book,English,Fun,https://images.amazon.com/images/P/0307129438.01.LZZZZZZZ.jpg
On the Day You Were Born,Debra Frasier,Book,English,Fun,https://images.amazon.com/images/P/0152579958.01.LZZZZZZZ.jpg
Brought to You by the Letter B (Random House Pictureback),Sarah Albee,Book,English,Fun,https://images.amazon.com/images/P/0375804404.01.LZZZZZZZ.jpg
NEW KIDS ON THE BLOCK NOVEL: BACKSTAGE SURPRISE : Looking Your Level Best at Any Age,Tom McEvoy,Book,English,Fun,https://images.amazon.com/images/P/067173170X.01.LZZZZZZZ.jpg
